Category,Dry Day,Light Drizzle,Heavy Rain,Clear After Rain
Share-A-Plate,110,116,82,192
Sandwiches Burgers Wraps,112,97,56,159
Hot Brews,81,78,65,167
Bakery,84,94,46,85
Dessert,64,76,29,93
Blended Full Meals,70,59,36,92
Mocktails,83,48,30,78
Hot Beverages,57,58,40,65
Hot Chocolate,15,73,58,58
Wholesome Breakfast,68,50,20,55
Classic Eggs,60,48,22,58
Cold Brews,100,21,4,54
Pancakes & Waffwich,63,40,18,34
Pasta,47,42,13,51
Premium Shakes,63,34,12,43
Soup,23,27,20,41
Pizza,22,19,21,42
Salad Bowls,28,24,2,33
Large Soup Bowls,4,29,24,28
Frappe,29,21,9,25
Steam Basket,21,14,13,28
Cold Beverages,23,14,3,22
Cold Press Juices,26,19,2,10
Fondue,16,11,10,17
